axis_key,display_name,axis_type,role_families,locale,synonyms,definition,not_definition,rubric_anchor_0,rubric_anchor_5,rubric_anchor_8,rubric_anchor_10,evidence_types,assessment_options,version,status,typical_roles
structuring,Structure,soft_skill,consulting,en,framing|organizing|scoping|outlining,Ability to break an ambiguous problem into clear components and a logical workplan.,Not subject-matter expertise by itself or simply following a memorized framework.,Unstructured; jumps between topics,Clear structure for typical cases,Tailored structures; anticipates edge cases,Creates frameworks; teaches others,competitions|assessments|work|portfolio|social_proof,case_mece_drill|case_outline_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
hypothesis,Hypothesis work,work_style,consulting,en,assumption|premise|theory|conjecture,"Ability to form testable hypotheses and use evidence to confirm, reject, or refine them.",Not guessing without testing or forcing data to fit a preferred conclusion.,No hypotheses; reacts to data only,Forms testable hypotheses in analysis,Runs structured tests; updates quickly,Drives teams with hypothesis trees,competitions|assessments|work|portfolio,hypothesis_tree_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
synthesis,Synthesis,soft_skill,consulting,en,integration|distillation|consolidation|summary,"Ability to combine multiple inputs into a coherent, decision-ready takeaway.",Not listing facts without prioritizing what matters for the decision.,Outputs are fragmented; no takeaway,Summarizes key points clearly,Distills complex work into decisions,Produces executive-grade synthesis,portfolio|work|competitions|social_proof,exec_summary_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
insight,Insight,soft_skill,consulting,en,clarity|understanding|interpretation|perception,Ability to identify the meaning behind data and translate patterns into actionable implications.,Not reporting metrics without explaining 'so what' or 'now what'.,No 'so what'; observations only,Finds useful implications in data,"Generates novel, relevant insights",Consistently shifts strategy with insight,competitions|work|portfolio|assessments,so_what_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
communication,Communication,soft_skill,consulting,en,articulation|clarity|dialogue|messaging,"Ability to convey ideas clearly, concisely, and appropriately to the audience.","Not verbosity, charisma alone, or being agreeable without clarity.",Unclear; causes misunderstandings,Clear in typical team settings,Persuasive across senior audiences,Trusted spokesperson; coaches others,work|social_proof|portfolio|competitions,clarity_rewrite_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
storytelling,Storytelling,soft_skill,consulting,en,narrative|framing|persuasion|pitching,Ability to structure information into a compelling narrative that supports a recommendation.,Not entertainment or style without logical substance.,No narrative; slides feel random,Basic storyline with clear flow,Strong arc; supports decision-making,Memorable narratives that move stakeholders,portfolio|work|competitions,slide_story_arc_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
presentation,Presentation,soft_skill,consulting,en,briefing|pitching|delivery|speaking,Ability to present work confidently and respond to questions with composure and clarity.,Not slide aesthetics or memorized talking points without understanding.,Disorganized delivery; rattled by questions,Clear delivery; handles basic Q&A,Confident under challenge; adapts live,Exceptional presence; commands the room,portfolio|work|competitions|social_proof,live_qna_drill,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
diplomacy,Diplomacy,soft_skill,consulting,en,influence|stakeholder|negotiation|buyin,Ability to understand stakeholder incentives and align them toward a shared outcome.,"Not authority, manipulation, or political maneuvering without ethics.",Misses incentives; creates friction,Manages expectations in typical projects,Aligns conflicting stakeholders,Builds durable coalitions across orgs,work|social_proof|competitions,stakeholder_map_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
facilitation,Facilitation,soft_skill,consulting,en,moderation|coordination|guiding|orchestration,"Ability to run discussions that produce decisions, next steps, and shared understanding.",Not dominating the room or simply taking notes.,Meetings drift; no outcomes,Keeps meetings on track and productive,Manages conflict; drives decisions,Sets team operating rhythm and norms,work|social_proof|competitions,meeting_facilitation_sim,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
research,Research,hard_skill,consulting,en,investigation|inquiry|scanning|discovery,Ability to gather and validate information from credible sources and synthesize it for use.,Not copying sources uncritically or relying on low-quality information.,Uses unreliable sources; no validation,Finds credible sources; summarizes accurately,Triangulates sources; spots inconsistencies,Produces research others rely on,academic|portfolio|work|competitions,source_quality_quiz,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
diagnosis,Diagnosis,soft_skill,consulting,en,assessment|analysis|triage|troubleshooting,Ability to identify root causes of a problem and separate symptoms from drivers.,Not treating surface issues only or overfitting to one anecdote.,Jumps to fixes without root cause,Finds likely root causes in common cases,Uses structured RCA; validates drivers,"Solves complex, messy root-cause problems",work|competitions|assessments|portfolio,root_cause_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
quantification,Quantification,hard_skill,consulting,en,metrics|measurement|numeracy|calculation,"Ability to translate questions into numbers, estimates, and metrics that inform decisions.","Not precision theater, or complex math without relevance.",Avoids numbers; no estimates,Builds reasonable estimates and metrics,Quantifies uncertainty; validates assumptions,Creates robust measurement systems,academic|assessments|work|portfolio,market_sizing_case|estimation_drill,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
prioritization,Prioritization,work_style,consulting,en,ranking|sequencing|triage|focus,"Ability to choose what to do first based on impact, effort, and constraints.",Not doing whatever is most urgent or most visible.,Works on low-impact tasks first,Prioritizes well in typical workloads,Balances tradeoffs; protects focus,Shapes roadmaps; sets priorities for teams,work|competitions|social_proof,prioritization_scenario,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
alignment,Alignment,soft_skill,consulting,en,consensus|synchronization|cohesion|agreement,"Ability to create shared understanding on goals, roles, and decisions across people.",Not avoiding disagreement or forcing consensus prematurely.,Teams misunderstand goals and roles,Clarifies goals and decisions in teams,Aligns multiple functions and constraints,Builds alignment across organizations,work|social_proof|portfolio,alignment_brief_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
precision,Precision,work_style,consulting,en,rigor|thoroughness|discipline|exactness,"Consistency in checking assumptions, logic, and calculations to reduce errors.",Not perfectionism that blocks progress or unnecessary complexity.,Careless work; frequent errors,Reliable accuracy in normal work,High quality under time pressure,Sets quality bar; audits others' work,academic|work|portfolio|assessments,logic_check_drill,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
adaptability,Adaptability,work_style,consulting,en,flexibility|agility|versatility|resilience,"Ability to adjust approach quickly when requirements, constraints, or feedback change.",Not changing direction randomly or lacking a plan.,Struggles with change; freezes,Adjusts with feedback in typical cases,Thrives in ambiguity; learns fast,Leads change; helps others adapt,work|social_proof|competitions,change_scenario_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
accounting,Accounting,hard_skill,finance,en,bookkeeping|ledger|statements|controls,Ability to understand and apply core accounting concepts to produce and interpret financial statements.,Not tax specialization or finance strategy without accounting grounding.,Cannot read basic statements,Understands statements; handles common entries,Applies standards; catches inconsistencies,Expert judgment; designs controls,academic|assessments|work,accounting_basics_quiz,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
valuation,Valuation,hard_skill,finance,en,appraisal|pricing|estimation|worth,Ability to estimate the value of a business or asset using appropriate methods and assumptions.,Not predicting stock prices or using one multiple without context.,Cannot explain key drivers,Builds a basic valuation with sound inputs,Runs sensitivities; defends assumptions,Expert valuation; spots mispricing,portfolio|assessments|work|academic,dcf_case|comps_case,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
modeling,Modeling,hard_skill,finance,en,forecasting|projection|simulation|sensitivity,Ability to build structured financial models that link assumptions to outputs and support decisions.,Not pretty spreadsheets without correct logic and auditability.,Models break; inconsistent logic,Correct 3-statement or DCF basics,"Flexible, audited models with scenarios",Designs modeling standards; reviews others,portfolio|assessments|work|academic,excel_modeling_test|three_statement_case,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
forecasting,Forecasting,hard_skill,finance,en,projection|prediction|outlook|planning,"Ability to predict future performance using data, drivers, and reasonable assumptions.",Not guessing or extrapolating without understanding drivers.,No driver logic; naive guesses,Basic driver-based forecasts,Accounts for seasonality and uncertainty,Creates forecasting systems and governance,portfolio|assessments|work|academic,forecasting_case,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
excel,Excel,hard_skill,finance,en,spreadsheets|formulas|pivoting|macros,"Ability to use spreadsheets efficiently for analysis, modeling, and reporting.","Not manual, error-prone work or relying on templates without understanding.",Slow; basic formulas only,"Uses pivots, lookups, and clean structure",Builds robust models; uses PowerQuery/VBA,Expert automation; audits and optimizes models,assessments|portfolio|work,excel_speed_drill|excel_model_audit,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
budgeting,Budgeting,hard_skill,finance,en,allocation|planning|costing|controls,"Ability to plan and manage budgets, including variance analysis and resource allocation.",Not long-term valuation work or unrelated project planning.,No ownership of budget numbers,Builds budgets; explains variances,Improves budget process; adds drivers,Leads budgeting cycles; aligns stakeholders,work|portfolio|academic,variance_analysis_case,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
reporting,Reporting,hard_skill,finance,en,disclosure|dashboards|statements|filing,"Ability to create clear financial reporting that is accurate, timely, and decision-ready.",Not data dumping or storytelling without numbers.,Reports are confusing or incorrect,Clear monthly reporting with checks,Automates reporting; improves narrative,Designs reporting standards and KPIs,work|portfolio|academic,reporting_redline_prompt,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
auditing,Auditing,hard_skill,finance,en,assurance|review|inspection|verification,Ability to verify financial information and controls through structured testing and evidence.,Not policing people or assuming fraud without evidence.,Cannot follow audit procedures,Performs basic tests; documents work,Identifies control gaps; proposes fixes,Leads audit planning; coaches teams,work|academic|assessments,audit_case,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
compliance,Compliance,hard_skill,finance,en,regulation|governance|conformity|policy,Ability to understand and operate within financial regulations and internal policies.,Not legal advice or box-ticking without understanding risk.,Unaware of key rules,Follows policies; flags obvious issues,Anticipates regulatory risk; advises process,Designs compliance programs; trains others,work|academic,compliance_scenario_quiz,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
risk,Risk,hard_skill,finance,en,exposure|volatility|uncertainty|downside,"Ability to identify, measure, and communicate financial risks and tradeoffs.",Not being risk-averse or avoiding decisions.,Ignores risk; no mitigation,Identifies key risks and mitigations,Quantifies risk; uses scenarios/stress tests,Builds risk frameworks; challenges assumptions,work|academic|assessments|portfolio,risk_scenario_case,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
hedging,Hedging,hard_skill,finance,en,offsetting|protection|covering|insurance,Ability to use instruments or strategies to reduce exposure to specific financial risks.,Not speculation or taking risk without defined purpose.,Cannot explain hedging logic,Basic hedge selection and rationale,Designs hedges; evaluates effectiveness,Expert structuring; manages complex exposures,academic|assessments|portfolio,hedging_quiz,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
liquidity,Liquidity analyses ,hard_skill,finance,en,cashflow|solvency|convertibility|marketability,"Ability to assess cash availability, funding needs, and the ease of converting assets to cash.",Not profitability analysis alone.,Misses cash constraints,Understands working capital and cash cycles,Models liquidity under stress,Designs liquidity policy and buffers,academic|assessments|work,cashflow_case,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
pricing,Pricing,hard_skill,finance,en,benchmarking|quoting|marking|valuation,"Ability to determine appropriate prices for products, services, or financial instruments using drivers and constraints.",Not discounting randomly or pricing without margin/risk awareness.,No pricing logic,Prices using basic drivers and benchmarks,Optimizes price with sensitivity and constraints,Builds pricing strategy and governance,work|portfolio|academic|assessments,pricing_case,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
treasury,Treasury,hard_skill,finance,en,funding|cashflow|capital|liquidity,"Ability to manage cash, funding, and financial operations such as payments and bank relationships.",Not investment strategy or accounting close work alone.,Does not understand cash operations,Understands cash positioning and flows,Improves funding and cash processes,Leads treasury operations and risk controls,work|academic,treasury_ops_quiz,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
taxation,Taxation,hard_skill,finance,en,levies|withholding|duties|excise,Ability to understand tax concepts and apply them correctly in analysis or reporting contexts.,Not providing formal tax advice or handling complex cross-border structuring.,Confuses basic tax concepts,Applies common tax rules in models,Handles multi-scenario tax impacts,Expert tax planning; ensures compliance at scale,academic|assessments|work,tax_quiz,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
reconciliation,Reconciliation,hard_skill,finance,en,balancing|matching|clearing|verification,Ability to match records across systems and resolve discrepancies to ensure data integrity.,Not ignoring differences or forcing balances without explanation.,Frequent unreconciled breaks,Reconciles routine accounts accurately,Investigates breaks; prevents recurrence,Designs reconciliation controls and automation,work|assessments|portfolio,recon_breaks_case,1,active,investment_banking_intern|equity_research_intern|fp&a_intern|corporate_finance_intern
programming,Programming,hard_skill,technology,en,coding|development|scripting|implementation,"Ability to write correct, readable code to solve problems and deliver features.","Not knowing syntax only, or coding without testing and maintainability.",Cannot complete basic tasks,Builds features with clean code,Solves complex problems; strong patterns,Expert engineer; mentors and reviews,portfolio|assessments|work|competitions|academic,coding_challenge,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
python,Python,hard_skill,technology,en,pandas|numpy|django|scripting,"Ability to use Python effectively for scripting, data work, or backend development.",Not general programming ability without Python-specific competence.,No usable Python,Writes clean Python for common tasks,Uses advanced features; optimizes performance,Expert; builds libraries and mentors,portfolio|assessments|work|competitions|academic,python_coding_test,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
sql,SQL,hard_skill,technology,en,querying|postgres|joins|schema,Ability to query and manipulate relational data accurately and efficiently.,Not spreadsheets-as-databases or guessing results without understanding joins.,Cannot write basic SELECT,Writes correct joins and aggregations,Optimizes queries; models schemas,Expert; designs data layers and standards,portfolio|assessments|work|academic,sql_query_test,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
git,Git,hard_skill,technology,en,versioning|branching|merging|rebasing,Ability to use version control to collaborate safely and manage code changes.,Not copying commands without understanding or avoiding collaboration workflows.,Breaks history; avoids PRs,"Uses branches, PRs, and resolves merges",Manages complex workflows; clean history,Sets repo standards; trains others,portfolio|work|competitions,git_workflow_quiz,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
architecture,Architecture,hard_skill,technology,en,design|blueprint|structure|topology,"Ability to design systems with appropriate components, interfaces, and tradeoffs.",Not overengineering or drawing diagrams without understanding constraints.,Ad-hoc designs; brittle systems,Designs basic components and APIs,Handles tradeoffs; scalable patterns,Defines architecture; guides teams,work|portfolio|assessments|academic,system_design_prompt,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
debugging,Debugging,hard_skill,technology,en,tracing|troubleshooting|diagnosis|fixing,"Ability to find, isolate, and fix defects using logs, tests, and systematic reasoning.",Not random trial-and-error or blaming dependencies without proof.,Stuck on bugs; no method,Finds root cause in typical issues,Debugs complex systems quickly,Improves observability; prevents classes of bugs,work|portfolio|assessments,bug_hunt_sim,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
testing,Testing,hard_skill,technology,en,validation|qa|coverage|verification,Ability to write and maintain tests that protect correctness and enable safe change.,Not writing tests that assert nothing meaningful or only manual testing.,No tests; frequent regressions,Unit/integration tests for core paths,Reliable suites; good coverage strategy,Sets testing culture; designs test architecture,work|portfolio|assessments,test_design_case,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
deployment,Deployment,hard_skill,technology,en,release|shipping|provisioning|launching,Ability to deliver software to production environments safely and repeatably.,"Not 'it works on my machine' or manual, risky releases.",Cannot deploy without help,Deploys via standard pipelines,Implements safe rollouts and monitoring,Designs release engineering practices,work|portfolio|assessments,deployment_pipeline_quiz,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
scalability,Scalability,hard_skill,technology,en,elasticity|capacity|throughput|growth,Ability to design and improve systems to handle increased load without failure.,Not premature optimization or scaling only by adding servers blindly.,System fails under moderate load,Understands basic scaling levers,Designs for scale; handles bottlenecks,Leads performance architecture,work|portfolio|academic|assessments,scaling_case,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
security,Security,hard_skill,technology,en,privacy|hardening|defense|protection,Ability to build and operate software with secure defaults and threat awareness.,Not fear-driven restrictions or security theater without risk modeling.,Introduces common vulnerabilities,Applies basic secure practices,Threat-models; mitigates risks,Designs security architecture; leads reviews,work|portfolio|assessments|academic,security_threat_model_prompt,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
cloud,Cloud,hard_skill,technology,en,hosting|infrastructure|platform|compute,"Ability to use cloud services to deploy, scale, and operate applications.","Not clicking in consoles without understanding IAM, networking, and costs.",Cannot deploy cloud resources,Uses common services appropriately,"Designs secure, cost-aware cloud setups",Defines cloud platform patterns,work|portfolio|assessments,cloud_fundamentals_quiz,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
automation,Automation,hard_skill,technology,en,pipelines|orchestration|scripting|autonomy,"Ability to remove manual work through scripts, pipelines, and tooling.",Not over-automating unstable processes.,Manual repetitive work persists,Automates common tasks reliably,Builds robust pipelines and tooling,Creates automation strategy across teams,work|portfolio|competitions,automation_prompt,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
optimization,Optimization,hard_skill,technology,en,tuning|refinement|streamlining|performance,"Ability to improve performance, cost, or efficiency through measurement and targeted changes.",Not micro-optimizing without measuring impact.,No measurement; random tweaks,Improves common bottlenecks with metrics,Finds root bottlenecks; big wins,Sets performance KPIs and tuning playbooks,work|portfolio|assessments|academic,perf_profile_case,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
documentation,Documentation,work_style,technology,en,specs|readme|writing|comments,"Ability to write clear docs that help others understand, use, and maintain systems.",Not excessive documentation that is outdated or redundant.,No docs; knowledge stays tribal,Docs cover setup and key flows,"Docs are concise, current, and adopted",Sets documentation standards across org,portfolio|work|social_proof,docs_quality_prompt,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
integration,Integration,hard_skill,technology,en,interfacing|connecting|linking|coupling,"Ability to connect systems via APIs, data contracts, and reliable interfaces.",Not brittle point-to-point hacks without monitoring or contracts.,Integrations frequently break,Builds stable integrations with retries/errors,Designs contracts; handles edge cases,Architects integration platforms,work|portfolio|assessments,api_integration_case,1,active,software_engineering_intern|data_science_intern|devops_intern|product_engineering_intern
